"","Species","Network_Type","Probability","Species_Degree","Species_Type","Fraction","Interaction_Network"
"1",1,"grid",0.761904761904762,32,"Plant",1,"M_PL_010"
"2",2,"grid",0.761904761904762,29,"Plant",1,"M_PL_010"
"3",3,"grid",0.761904761904762,28,"Plant",1,"M_PL_010"
"4",4,"grid",0.761904761904762,26,"Plant",1,"M_PL_010"
"5",5,"grid",0.761904761904762,25,"Plant",1,"M_PL_010"
"6",6,"grid",0.761904761904762,23,"Plant",1,"M_PL_010"
"7",7,"grid",0.761904761904762,23,"Plant",1,"M_PL_010"
"8",8,"grid",0.761904761904762,20,"Plant",1,"M_PL_010"
"9",9,"grid",0.761904761904762,19,"Plant",1,"M_PL_010"
"10",10,"grid",0.761904761904762,17,"Plant",1,"M_PL_010"
"11",11,"grid",0.761904761904762,16,"Plant",1,"M_PL_010"
"12",12,"grid",0.761904761904762,16,"Plant",1,"M_PL_010"
"13",13,"grid",0.761904761904762,15,"Plant",1,"M_PL_010"
"14",14,"grid",0.761904761904762,14,"Plant",1,"M_PL_010"
"15",15,"grid",0.761904761904762,14,"Plant",1,"M_PL_010"
"16",16,"grid",0.761904761904762,13,"Plant",1,"M_PL_010"
"17",17,"grid",0.761904761904762,12,"Plant",1,"M_PL_010"
"18",18,"grid",0.761904761904762,11,"Plant",1,"M_PL_010"
"19",19,"grid",0.761904761904762,11,"Plant",1,"M_PL_010"
"20",20,"grid",0.759637188208617,10,"Plant",1,"M_PL_010"
"21",21,"grid",0.675736961451247,10,"Plant",1,"M_PL_010"
"22",22,"grid",0.761904761904762,10,"Plant",1,"M_PL_010"
"23",23,"grid",0.741496598639456,9,"Plant",1,"M_PL_010"
"24",24,"grid",0.739229024943311,9,"Plant",1,"M_PL_010"
"25",25,"grid",0.698412698412698,8,"Plant",1,"M_PL_010"
"26",26,"grid",0.675736961451247,8,"Plant",1,"M_PL_010"
"27",27,"grid",0.696145124716553,7,"Plant",1,"M_PL_010"
"28",28,"grid",0.73015873015873,6,"Plant",1,"M_PL_010"
"29",29,"grid",0.653061224489796,6,"Plant",1,"M_PL_010"
"30",30,"grid",0.621315192743764,6,"Plant",1,"M_PL_010"
"31",31,"grid",0.555555555555556,3,"Plant",1,"M_PL_010"
"32",32,"grid",0.761904761904762,20,"Animal",1,"M_PL_010"
"33",33,"grid",0.761904761904762,19,"Animal",1,"M_PL_010"
"34",34,"grid",0.761904761904762,18,"Animal",1,"M_PL_010"
"35",35,"grid",0.761904761904762,16,"Animal",1,"M_PL_010"
"36",36,"grid",0.761904761904762,16,"Animal",1,"M_PL_010"
"37",37,"grid",0.761904761904762,16,"Animal",1,"M_PL_010"
"38",38,"grid",0.761904761904762,16,"Animal",1,"M_PL_010"
"39",39,"grid",0.761904761904762,16,"Animal",1,"M_PL_010"
"40",40,"grid",0.761904761904762,15,"Animal",1,"M_PL_010"
"41",41,"grid",0.761904761904762,15,"Animal",1,"M_PL_010"
"42",42,"grid",0.761904761904762,14,"Animal",1,"M_PL_010"
"43",43,"grid",0.761904761904762,13,"Animal",1,"M_PL_010"
"44",44,"grid",0.761904761904762,12,"Animal",1,"M_PL_010"
"45",45,"grid",0.761904761904762,12,"Animal",1,"M_PL_010"
"46",46,"grid",0.761904761904762,12,"Animal",1,"M_PL_010"
"47",47,"grid",0.761904761904762,11,"Animal",1,"M_PL_010"
"48",48,"grid",0.761904761904762,11,"Animal",1,"M_PL_010"
"49",49,"grid",0.761904761904762,11,"Animal",1,"M_PL_010"
"50",50,"grid",0.761904761904762,10,"Animal",1,"M_PL_010"
"51",51,"grid",0.761904761904762,9,"Animal",1,"M_PL_010"
"52",52,"grid",0.757369614512472,8,"Animal",1,"M_PL_010"
"53",53,"grid",0.748299319727891,8,"Animal",1,"M_PL_010"
"54",54,"grid",0.752834467120181,7,"Animal",1,"M_PL_010"
"55",55,"grid",0.698412698412698,6,"Animal",1,"M_PL_010"
"56",56,"grid",0.718820861678005,6,"Animal",1,"M_PL_010"
"57",57,"grid",0.72562358276644,6,"Animal",1,"M_PL_010"
"58",58,"grid",0.732426303854875,6,"Animal",1,"M_PL_010"
"59",59,"grid",0.678004535147392,5,"Animal",1,"M_PL_010"
"60",60,"grid",0.693877551020408,5,"Animal",1,"M_PL_010"
"61",61,"grid",0.680272108843537,5,"Animal",1,"M_PL_010"
"62",62,"grid",0.700680272108844,5,"Animal",1,"M_PL_010"
"63",63,"grid",0.648526077097506,5,"Animal",1,"M_PL_010"
"64",64,"grid",0.693877551020408,5,"Animal",1,"M_PL_010"
"65",65,"grid",0.607709750566893,4,"Animal",1,"M_PL_010"
"66",66,"grid",0.63718820861678,4,"Animal",1,"M_PL_010"
"67",67,"grid",0.560090702947846,4,"Animal",1,"M_PL_010"
"68",68,"grid",0.575963718820862,4,"Animal",1,"M_PL_010"
"69",69,"grid",0.646258503401361,4,"Animal",1,"M_PL_010"
"70",70,"grid",0.562358276643991,4,"Animal",1,"M_PL_010"
"71",71,"grid",0.639455782312925,4,"Animal",1,"M_PL_010"
"72",72,"grid",0.598639455782313,4,"Animal",1,"M_PL_010"
"73",73,"grid",0.535147392290249,3,"Animal",1,"M_PL_010"
"74",74,"grid",0.564625850340136,3,"Animal",1,"M_PL_010"
"75",75,"grid",0.571428571428571,3,"Animal",1,"M_PL_010"
"76",76,"grid",0.578231292517007,3,"Animal",1,"M_PL_010"
"77",77,"grid",0.54875283446712,3,"Animal",1,"M_PL_010"
"78",78,"grid",0.537414965986395,3,"Animal",1,"M_PL_010"
"79",79,"grid",0.46031746031746,2,"Animal",1,"M_PL_010"
