"","Species","Network_Type","Probability","Species_Degree","Species_Type","Fraction","Interaction_Network"
"1",1,"grid",0.473922902494331,5,"Plant",1,"M_SD_007"
"2",2,"grid",0.469387755102041,4,"Plant",1,"M_SD_007"
"3",3,"grid",0.469387755102041,4,"Plant",1,"M_SD_007"
"4",4,"grid",0.469387755102041,4,"Plant",1,"M_SD_007"
"5",5,"grid",0.469387755102041,4,"Plant",1,"M_SD_007"
"6",6,"grid",0.469387755102041,4,"Plant",1,"M_SD_007"
"7",7,"grid",0.46031746031746,3,"Plant",1,"M_SD_007"
"8",8,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"9",9,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"10",10,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"11",11,"grid",0.442176870748299,3,"Plant",1,"M_SD_007"
"12",12,"grid",0.46031746031746,3,"Plant",1,"M_SD_007"
"13",13,"grid",0.464852607709751,3,"Plant",1,"M_SD_007"
"14",14,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"15",15,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"16",16,"grid",0.464852607709751,3,"Plant",1,"M_SD_007"
"17",17,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"18",18,"grid",0.46031746031746,3,"Plant",1,"M_SD_007"
"19",19,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"20",20,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"21",21,"grid",0.464852607709751,3,"Plant",1,"M_SD_007"
"22",22,"grid",0.464852607709751,3,"Plant",1,"M_SD_007"
"23",23,"grid",0.462585034013605,3,"Plant",1,"M_SD_007"
"24",24,"grid",0.424036281179138,2,"Plant",1,"M_SD_007"
"25",25,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"26",26,"grid",0.383219954648526,2,"Plant",1,"M_SD_007"
"27",27,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"28",28,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"29",29,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"30",30,"grid",0.430839002267574,2,"Plant",1,"M_SD_007"
"31",31,"grid",0.439909297052154,2,"Plant",1,"M_SD_007"
"32",32,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"33",33,"grid",0.437641723356009,2,"Plant",1,"M_SD_007"
"34",34,"grid",0.435374149659864,2,"Plant",1,"M_SD_007"
"35",35,"grid",0.428571428571429,2,"Plant",1,"M_SD_007"
"36",36,"grid",0.401360544217687,2,"Plant",1,"M_SD_007"
"37",37,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"38",38,"grid",0.435374149659864,2,"Plant",1,"M_SD_007"
"39",39,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"40",40,"grid",0.435374149659864,2,"Plant",1,"M_SD_007"
"41",41,"grid",0.433106575963719,2,"Plant",1,"M_SD_007"
"42",42,"grid",0.315192743764172,1,"Plant",1,"M_SD_007"
"43",43,"grid",0.27891156462585,1,"Plant",1,"M_SD_007"
"44",44,"grid",0.306122448979592,1,"Plant",1,"M_SD_007"
"45",45,"grid",0.312925170068027,1,"Plant",1,"M_SD_007"
"46",46,"grid",0.306122448979592,1,"Plant",1,"M_SD_007"
"47",47,"grid",0.308390022675737,1,"Plant",1,"M_SD_007"
"48",48,"grid",0.272108843537415,1,"Plant",1,"M_SD_007"
"49",49,"grid",0.306122448979592,1,"Plant",1,"M_SD_007"
"50",50,"grid",0.306122448979592,1,"Plant",1,"M_SD_007"
"51",51,"grid",0.310657596371882,1,"Plant",1,"M_SD_007"
"52",52,"grid",0.281179138321995,1,"Plant",1,"M_SD_007"
"53",53,"grid",0.285714285714286,1,"Plant",1,"M_SD_007"
"54",54,"grid",0.276643990929705,1,"Plant",1,"M_SD_007"
"55",55,"grid",0.306122448979592,1,"Plant",1,"M_SD_007"
"56",56,"grid",0.281179138321995,1,"Plant",1,"M_SD_007"
"57",57,"grid",0.285714285714286,1,"Plant",1,"M_SD_007"
"58",58,"grid",0.281179138321995,1,"Plant",1,"M_SD_007"
"59",59,"grid",0.308390022675737,1,"Plant",1,"M_SD_007"
"60",60,"grid",0.285714285714286,1,"Plant",1,"M_SD_007"
"61",61,"grid",0.258503401360544,1,"Plant",1,"M_SD_007"
"62",62,"grid",0.310657596371882,1,"Plant",1,"M_SD_007"
"63",63,"grid",0.310657596371882,1,"Plant",1,"M_SD_007"
"64",64,"grid",0.308390022675737,1,"Plant",1,"M_SD_007"
"65",65,"grid",0.308390022675737,1,"Plant",1,"M_SD_007"
"66",66,"grid",0.308390022675737,1,"Plant",1,"M_SD_007"
"67",67,"grid",0.283446712018141,1,"Plant",1,"M_SD_007"
"68",68,"grid",0.312925170068027,1,"Plant",1,"M_SD_007"
"69",69,"grid",0.27891156462585,1,"Plant",1,"M_SD_007"
"70",70,"grid",0.281179138321995,1,"Plant",1,"M_SD_007"
"71",71,"grid",0.308390022675737,1,"Plant",1,"M_SD_007"
"72",72,"grid",0.312925170068027,1,"Plant",1,"M_SD_007"
"73",73,"grid",0.473922902494331,48,"Animal",1,"M_SD_007"
"74",74,"grid",0.473922902494331,48,"Animal",1,"M_SD_007"
"75",75,"grid",0.473922902494331,22,"Animal",1,"M_SD_007"
"76",76,"grid",0.471655328798186,12,"Animal",1,"M_SD_007"
"77",77,"grid",0.453514739229025,8,"Animal",1,"M_SD_007"
"78",78,"grid",0.392290249433107,4,"Animal",1,"M_SD_007"
"79",79,"grid",0.19047619047619,1,"Animal",1,"M_SD_007"
"80",1,"grid",0.45578231292517,5,"Plant",2,"M_SD_007"
"81",2,"grid",0.45124716553288,4,"Plant",2,"M_SD_007"
"82",3,"grid",0.45124716553288,4,"Plant",2,"M_SD_007"
"83",4,"grid",0.45124716553288,4,"Plant",2,"M_SD_007"
"84",5,"grid",0.45124716553288,4,"Plant",2,"M_SD_007"
"85",6,"grid",0.45124716553288,4,"Plant",2,"M_SD_007"
"86",7,"grid",0.444444444444444,3,"Plant",2,"M_SD_007"
"87",8,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"88",9,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"89",10,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"90",11,"grid",0.421768707482993,3,"Plant",2,"M_SD_007"
"91",12,"grid",0.439909297052154,3,"Plant",2,"M_SD_007"
"92",13,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"93",14,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"94",15,"grid",0.444444444444444,3,"Plant",2,"M_SD_007"
"95",16,"grid",0.444444444444444,3,"Plant",2,"M_SD_007"
"96",17,"grid",0.444444444444444,3,"Plant",2,"M_SD_007"
"97",18,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"98",19,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"99",20,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"100",21,"grid",0.442176870748299,3,"Plant",2,"M_SD_007"
"101",22,"grid",0.44671201814059,3,"Plant",2,"M_SD_007"
"102",23,"grid",0.444444444444444,3,"Plant",2,"M_SD_007"
"103",24,"grid",0.412698412698413,2,"Plant",2,"M_SD_007"
"104",25,"grid",0.414965986394558,2,"Plant",2,"M_SD_007"
"105",26,"grid",0.36734693877551,2,"Plant",2,"M_SD_007"
"106",27,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"107",28,"grid",0.414965986394558,2,"Plant",2,"M_SD_007"
"108",29,"grid",0.414965986394558,2,"Plant",2,"M_SD_007"
"109",30,"grid",0.419501133786848,2,"Plant",2,"M_SD_007"
"110",31,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"111",32,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"112",33,"grid",0.419501133786848,2,"Plant",2,"M_SD_007"
"113",34,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"114",35,"grid",0.412698412698413,2,"Plant",2,"M_SD_007"
"115",36,"grid",0.394557823129252,2,"Plant",2,"M_SD_007"
"116",37,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"117",38,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"118",39,"grid",0.414965986394558,2,"Plant",2,"M_SD_007"
"119",40,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"120",41,"grid",0.417233560090703,2,"Plant",2,"M_SD_007"
"121",42,"grid",0.292517006802721,1,"Plant",2,"M_SD_007"
"122",43,"grid",0.272108843537415,1,"Plant",2,"M_SD_007"
"123",44,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"124",45,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"125",46,"grid",0.294784580498866,1,"Plant",2,"M_SD_007"
"126",47,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"127",48,"grid",0.26984126984127,1,"Plant",2,"M_SD_007"
"128",49,"grid",0.299319727891156,1,"Plant",2,"M_SD_007"
"129",50,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"130",51,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"131",52,"grid",0.27437641723356,1,"Plant",2,"M_SD_007"
"132",53,"grid",0.272108843537415,1,"Plant",2,"M_SD_007"
"133",54,"grid",0.26530612244898,1,"Plant",2,"M_SD_007"
"134",55,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"135",56,"grid",0.267573696145125,1,"Plant",2,"M_SD_007"
"136",57,"grid",0.26984126984127,1,"Plant",2,"M_SD_007"
"137",58,"grid",0.272108843537415,1,"Plant",2,"M_SD_007"
"138",59,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"139",60,"grid",0.267573696145125,1,"Plant",2,"M_SD_007"
"140",61,"grid",0.244897959183673,1,"Plant",2,"M_SD_007"
"141",62,"grid",0.294784580498866,1,"Plant",2,"M_SD_007"
"142",63,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"143",64,"grid",0.301587301587302,1,"Plant",2,"M_SD_007"
"144",65,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"145",66,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"146",67,"grid",0.272108843537415,1,"Plant",2,"M_SD_007"
"147",68,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"148",69,"grid",0.276643990929705,1,"Plant",2,"M_SD_007"
"149",70,"grid",0.272108843537415,1,"Plant",2,"M_SD_007"
"150",71,"grid",0.299319727891156,1,"Plant",2,"M_SD_007"
"151",72,"grid",0.297052154195011,1,"Plant",2,"M_SD_007"
"152",73,"grid",0.458049886621315,48,"Animal",2,"M_SD_007"
"153",74,"grid",0.458049886621315,48,"Animal",2,"M_SD_007"
"154",75,"grid",0.458049886621315,22,"Animal",2,"M_SD_007"
"155",76,"grid",0.458049886621315,12,"Animal",2,"M_SD_007"
"156",77,"grid",0.439909297052154,8,"Animal",2,"M_SD_007"
"157",78,"grid",0.369614512471655,4,"Animal",2,"M_SD_007"
