"","Species","Network_Type","Probability","Species_Degree","Species_Type","Fraction","Interaction_Network"
"1",1,"grid",0.560090702947846,18,"Plant",1,"M_PL_033"
"2",2,"grid",0.560090702947846,16,"Plant",1,"M_PL_033"
"3",3,"grid",0.560090702947846,14,"Plant",1,"M_PL_033"
"4",4,"grid",0.560090702947846,14,"Plant",1,"M_PL_033"
"5",5,"grid",0.560090702947846,13,"Plant",1,"M_PL_033"
"6",6,"grid",0.557823129251701,13,"Plant",1,"M_PL_033"
"7",7,"grid",0.560090702947846,13,"Plant",1,"M_PL_033"
"8",8,"grid",0.557823129251701,12,"Plant",1,"M_PL_033"
"9",9,"grid",0.560090702947846,11,"Plant",1,"M_PL_033"
"10",10,"grid",0.555555555555556,8,"Plant",1,"M_PL_033"
"11",11,"grid",0.471655328798186,5,"Plant",1,"M_PL_033"
"12",12,"grid",0.394557823129252,2,"Plant",1,"M_PL_033"
"13",13,"grid",0.170068027210884,2,"Plant",1,"M_PL_033"
"14",14,"grid",0.560090702947846,11,"Animal",1,"M_PL_033"
"15",15,"grid",0.560090702947846,9,"Animal",1,"M_PL_033"
"16",16,"grid",0.560090702947846,8,"Animal",1,"M_PL_033"
"17",17,"grid",0.560090702947846,7,"Animal",1,"M_PL_033"
"18",18,"grid",0.560090702947846,7,"Animal",1,"M_PL_033"
"19",19,"grid",0.560090702947846,6,"Animal",1,"M_PL_033"
"20",20,"grid",0.551020408163265,5,"Animal",1,"M_PL_033"
"21",21,"grid",0.555555555555556,5,"Animal",1,"M_PL_033"
"22",22,"grid",0.555555555555556,5,"Animal",1,"M_PL_033"
"23",23,"grid",0.555555555555556,5,"Animal",1,"M_PL_033"
"24",24,"grid",0.555555555555556,5,"Animal",1,"M_PL_033"
"25",25,"grid",0.555555555555556,5,"Animal",1,"M_PL_033"
"26",26,"grid",0.55328798185941,5,"Animal",1,"M_PL_033"
"27",27,"grid",0.530612244897959,5,"Animal",1,"M_PL_033"
"28",28,"grid",0.555555555555556,5,"Animal",1,"M_PL_033"
"29",29,"grid",0.537414965986395,4,"Animal",1,"M_PL_033"
"30",30,"grid",0.530612244897959,4,"Animal",1,"M_PL_033"
"31",31,"grid",0.512471655328798,4,"Animal",1,"M_PL_033"
"32",32,"grid",0.517006802721088,4,"Animal",1,"M_PL_033"
"33",33,"grid",0.512471655328798,4,"Animal",1,"M_PL_033"
"34",34,"grid",0.501133786848073,4,"Animal",1,"M_PL_033"
"35",35,"grid",0.501133786848073,3,"Animal",1,"M_PL_033"
"36",36,"grid",0.492063492063492,3,"Animal",1,"M_PL_033"
"37",37,"grid",0.498866213151927,3,"Animal",1,"M_PL_033"
"38",38,"grid",0.501133786848073,3,"Animal",1,"M_PL_033"
"39",39,"grid",0.410430839002268,2,"Animal",1,"M_PL_033"
"40",40,"grid",0.426303854875283,2,"Animal",1,"M_PL_033"
"41",41,"grid",0.290249433106576,2,"Animal",1,"M_PL_033"
"42",42,"grid",0.27891156462585,1,"Animal",1,"M_PL_033"
"43",43,"grid",0.283446712018141,1,"Animal",1,"M_PL_033"
"44",44,"grid",0.283446712018141,1,"Animal",1,"M_PL_033"
"45",45,"grid",0.26984126984127,1,"Animal",1,"M_PL_033"
"46",46,"grid",0.27437641723356,1,"Animal",1,"M_PL_033"
"47",47,"grid",0.138321995464853,1,"Animal",1,"M_PL_033"
"48",1,"grid",0.521541950113379,18,"Plant",2,"M_PL_033"
"49",2,"grid",0.521541950113379,16,"Plant",2,"M_PL_033"
"50",3,"grid",0.521541950113379,14,"Plant",2,"M_PL_033"
"51",4,"grid",0.521541950113379,14,"Plant",2,"M_PL_033"
"52",5,"grid",0.521541950113379,13,"Plant",2,"M_PL_033"
"53",6,"grid",0.521541950113379,13,"Plant",2,"M_PL_033"
"54",7,"grid",0.521541950113379,13,"Plant",2,"M_PL_033"
"55",8,"grid",0.521541950113379,12,"Plant",2,"M_PL_033"
"56",9,"grid",0.521541950113379,11,"Plant",2,"M_PL_033"
"57",10,"grid",0.519274376417234,8,"Plant",2,"M_PL_033"
"58",11,"grid",0.433106575963719,5,"Plant",2,"M_PL_033"
"59",12,"grid",0.36281179138322,2,"Plant",2,"M_PL_033"
"60",13,"grid",0.156462585034014,2,"Plant",2,"M_PL_033"
"61",14,"grid",0.519274376417234,11,"Animal",2,"M_PL_033"
"62",15,"grid",0.517006802721088,9,"Animal",2,"M_PL_033"
"63",16,"grid",0.517006802721088,8,"Animal",2,"M_PL_033"
"64",17,"grid",0.519274376417234,7,"Animal",2,"M_PL_033"
"65",18,"grid",0.517006802721088,7,"Animal",2,"M_PL_033"
"66",19,"grid",0.517006802721088,6,"Animal",2,"M_PL_033"
"67",20,"grid",0.512471655328798,5,"Animal",2,"M_PL_033"
"68",21,"grid",0.512471655328798,5,"Animal",2,"M_PL_033"
"69",22,"grid",0.505668934240363,5,"Animal",2,"M_PL_033"
"70",23,"grid",0.512471655328798,5,"Animal",2,"M_PL_033"
"71",24,"grid",0.510204081632653,5,"Animal",2,"M_PL_033"
"72",25,"grid",0.510204081632653,5,"Animal",2,"M_PL_033"
"73",26,"grid",0.510204081632653,5,"Animal",2,"M_PL_033"
"74",27,"grid",0.492063492063492,5,"Animal",2,"M_PL_033"
"75",28,"grid",0.507936507936508,5,"Animal",2,"M_PL_033"
"76",29,"grid",0.494331065759637,4,"Animal",2,"M_PL_033"
"77",30,"grid",0.489795918367347,4,"Animal",2,"M_PL_033"
"78",31,"grid",0.473922902494331,4,"Animal",2,"M_PL_033"
"79",32,"grid",0.478458049886621,4,"Animal",2,"M_PL_033"
"80",33,"grid",0.473922902494331,4,"Animal",2,"M_PL_033"
"81",34,"grid",0.467120181405896,4,"Animal",2,"M_PL_033"
"82",35,"grid",0.45578231292517,3,"Animal",2,"M_PL_033"
"83",36,"grid",0.458049886621315,3,"Animal",2,"M_PL_033"
"84",37,"grid",0.45124716553288,3,"Animal",2,"M_PL_033"
"85",38,"grid",0.464852607709751,3,"Animal",2,"M_PL_033"
"86",39,"grid",0.383219954648526,2,"Animal",2,"M_PL_033"
"87",40,"grid",0.394557823129252,2,"Animal",2,"M_PL_033"
"88",41,"grid",0.26530612244898,2,"Animal",2,"M_PL_033"
"89",42,"grid",0.260770975056689,1,"Animal",2,"M_PL_033"
"90",43,"grid",0.260770975056689,1,"Animal",2,"M_PL_033"
"91",44,"grid",0.263038548752834,1,"Animal",2,"M_PL_033"
"92",45,"grid",0.253968253968254,1,"Animal",2,"M_PL_033"
"93",46,"grid",0.256235827664399,1,"Animal",2,"M_PL_033"
"94",47,"grid",0.131519274376417,1,"Animal",2,"M_PL_033"
"95",1,"grid",0.492063492063492,18,"Plant",3,"M_PL_033"
"96",2,"grid",0.492063492063492,16,"Plant",3,"M_PL_033"
"97",3,"grid",0.492063492063492,14,"Plant",3,"M_PL_033"
"98",4,"grid",0.492063492063492,14,"Plant",3,"M_PL_033"
"99",5,"grid",0.492063492063492,13,"Plant",3,"M_PL_033"
"100",6,"grid",0.492063492063492,13,"Plant",3,"M_PL_033"
"101",7,"grid",0.492063492063492,13,"Plant",3,"M_PL_033"
"102",8,"grid",0.489795918367347,12,"Plant",3,"M_PL_033"
"103",9,"grid",0.492063492063492,11,"Plant",3,"M_PL_033"
"104",10,"grid",0.485260770975057,8,"Plant",3,"M_PL_033"
"105",11,"grid",0.401360544217687,5,"Plant",3,"M_PL_033"
"106",12,"grid",0.335600907029478,2,"Plant",3,"M_PL_033"
"107",13,"grid",0.149659863945578,2,"Plant",3,"M_PL_033"
"108",14,"grid",0.489795918367347,11,"Animal",3,"M_PL_033"
"109",15,"grid",0.489795918367347,9,"Animal",3,"M_PL_033"
"110",16,"grid",0.489795918367347,8,"Animal",3,"M_PL_033"
"111",17,"grid",0.489795918367347,7,"Animal",3,"M_PL_033"
"112",18,"grid",0.487528344671202,7,"Animal",3,"M_PL_033"
"113",19,"grid",0.485260770975057,6,"Animal",3,"M_PL_033"
"114",20,"grid",0.476190476190476,5,"Animal",3,"M_PL_033"
"115",21,"grid",0.478458049886621,5,"Animal",3,"M_PL_033"
"116",22,"grid",0.476190476190476,5,"Animal",3,"M_PL_033"
"117",23,"grid",0.476190476190476,5,"Animal",3,"M_PL_033"
"118",24,"grid",0.478458049886621,5,"Animal",3,"M_PL_033"
"119",25,"grid",0.478458049886621,5,"Animal",3,"M_PL_033"
"120",26,"grid",0.476190476190476,5,"Animal",3,"M_PL_033"
"121",27,"grid",0.464852607709751,5,"Animal",3,"M_PL_033"
"122",28,"grid",0.478458049886621,5,"Animal",3,"M_PL_033"
"123",29,"grid",0.464852607709751,4,"Animal",3,"M_PL_033"
"124",30,"grid",0.46031746031746,4,"Animal",3,"M_PL_033"
"125",31,"grid",0.444444444444444,4,"Animal",3,"M_PL_033"
"126",32,"grid",0.448979591836735,4,"Animal",3,"M_PL_033"
"127",33,"grid",0.44671201814059,4,"Animal",3,"M_PL_033"
"128",34,"grid",0.439909297052154,4,"Animal",3,"M_PL_033"
"129",35,"grid",0.430839002267574,3,"Animal",3,"M_PL_033"
"130",36,"grid",0.430839002267574,3,"Animal",3,"M_PL_033"
